student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json
42,Mark Smith ,,Male,ninety,,West Morganchester,force,1980.12.09,data-sciens,81,inactive,-2,excellent,255.0,1980-06-06T03:12:08,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",INVALID_JSON_DATA
43,Amanda Myers,19,fmale,ninety,6981153243,North Christopherborough,hoganandrew@@hotmail.com,1624536349,data science,110%,pending,-2,average,"140,00",1990-02-09T05:03:04,UZ 100515 Tashkent North Joseph,"{'hobbies': ['professional', 'necessary'], 'skills': {'tech': {'python': 5, 'excel': 4, 'sql': 2}, 'soft': ['recent', 'tend']}, 'family': {'siblings': 1, 'income': {'father': 1134, 'mother': 1304}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}"
44,Eric George ,18,male,93,,Nathanborough,cynthia47@@oneill.com,1647512713,Pyhton,,inactive,,good,205 USD,1656361536,UZ 100297 Tashkent North Candace,"{hobbies:['official', 'begin']}"
45,, 20 ,,83,,Duncanfort,someonegmail.com,1672052843,data-sciens,110%,active,0,  excellent  ,135 USD,2022-11-21,"Annahaven 19-kv, dom 3, Tashkent","{'hobbies': ['finish', 'true'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 2}, 'soft': ['enter', 'response']}, 'family': {'siblings': 5, 'income': {'father': 778, 'mother': 355}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2022}]}"
46,Brandi Jones, 20 ,male,,,Ramirezborough,   lawrence93@robinson-davis.com  ,1989-02-03T04:53:00,data_sciense,92,inactive,15.5,,USD 172,1975/05/22,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""raise"", ""let""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 2}, ""soft"": [""tell"", ""compare""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 209, ""mother"": 1191}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}"
47,John Robinson,19,,51,,Port Tracy,   wallacerandy@bradshaw.com  ,1610982543,ds,,active,15.5,average,"166,00",1994.04.25,UZ 100626 Tashkent East Williamport,"{'hobbies': ['above', 'even'], 'skills': {'tech': {'python': 3, 'excel': 2, 'sql': 5}, 'soft': ['minute', 'view']}, 'family': {'siblings': 4, 'income': {'father': 1127, 'mother': 1111}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}"
48,Suzanne Meyer,twenty,MALE,95,,South Joshua,   bartlettchristy@perez-strickland.com  ,1972/09/21,DATA SCIENCE,110%,active,,,144 USD,1976/01/20,"6637 Michelle Unions Apt. 959, Erikfort","{'hobbies': ['do', 'property'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 4}, 'soft': ['parent', 'raise']}, 'family': {'siblings': 1, 'income': {'father': 709, 'mother': 1006}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2015}, {'type': 'phone', 'brand': 'Apple', 'year': 2024}]}"
49,,18,FEMALE,ninety,+1-271-809-4741,Lake Michael,ablair@@gomez.com,1672630929,data_sciense,81,active,-2,average,225,1992.09.19,"00607 Alvarez Circles Suite 553, North Benjamin","{hobbies:['wonder', 'strong']}"
50,Justin Wong ,18,femlae,90,(010)809-9177x1999,Travisfort,?ali@@gmail..com,02/03/1970 01:13 PM,d.s.,110%,active,"3,7",average,$164,1995-02-16,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","{'hobbies': ['decide', 'continue'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 3}, 'soft': ['these', 'could']}, 'family': {'siblings': 3, 'income': {'father': 204, 'mother': 506}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2016}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
51,James Davis , 20 ,female,61,,New Emilyshire,organization,2014-02-09,data science,,inactive,"3,7",average,$132,1995-04-07,UZ 100391 Tashkent Lake Amy,"{hobbies:['prove', 'central']}"
52,Mitchell Conway ,19,Female,63,5709119906,Lake Louis,,13/06/1994 04:13 AM,ds,,inactive,-2,,205,1673333530,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""painting"", ""tough""], ""skills"": {""tech"": {""python"": 4, ""excel"": 5, ""sql"": 2}, ""soft"": [""hour"", ""series""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 543, ""mother"": 1003}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2015}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}"
53,,20,fmale,88,(780)869-1118x5301,West Lindsayview,   dclark@boyd.info  ,2012/06/25,d.s.,110%,inactive,"3,7",average,251,1990/03/31,UZ 100232 Tashkent Annabury,"{hobbies:['least', 'question']}"
54,Heather Moreno,19,fmale,83,438-917-8289x05514,South Jasmine,woodsanna@@wilkinson-glenn.info,2025/07/25,DATA SCIENCE,,pending,,  excellent  ,221 USD,2024/01/16,"Christown 6-kv, dom 20, Tashkent","{""hobbies"": [""leave"", ""effect""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 5}, ""soft"": [""six"", ""reduce""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 581, ""mother"": 302}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}"
55,Todd Moore,21,MALE,,+1-517-494-2230x14006,Richardview,schmidtregina@gmail.com,1999-04-29T21:01:29,ds,110%,inactive,0,  excellent  ,51 USD,22/03/1998 03:51 AM,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291","{hobbies:['save', 'most']}"
56,,21,Female,ninety,,Katelynton,   dominguezerin@solis.org  ,1632194889,Pyhton,,inactive,four point five,,$298,1980/07/14,"Apartment 42, South Charles district, Tashkent, UZ, 100904","{'hobbies': ['where', 'game'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 1}, 'soft': ['per', 'detail']}, 'family': {'siblings': 1, 'income': {'father': 602, 'mother': 1380}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}"
57,Ashley Lowe ,twenty,FEMALE,ninety,+1-501-690-0671x5583,Robertshire,   zvargas@chapman.org  ,02/08/2025 09:46 AM,ds,,inactive,,average,$236,2023/01/02,"87807 Kayla Glens, Autumnmouth",INVALID_JSON_DATA
58,Eric Holmes ,18 years,Male,57,+1-421-927-3279,West Tricia,?ali@@gmail..com,13/03/2001 12:56 PM,ds,80,pending,15.5,  excellent  ,$160,2020-05-21,"682 Vasquez Expressway Suite 699, West Nicolechester","{'hobbies': ['recognize', 'between'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 2}, 'soft': ['image', 'leg']}, 'family': {'siblings': 5, 'income': {'father': 1178, 'mother': 1209}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}"
59,Nathan Melendez,20,fmale,75,(267)108-2545,Wheelerport,direction,1971.06.20,Data Science,,active,four point five,average,65,1970-09-19,"Apartment 9, Laurabury district, Tashkent, UZ, 100798","{hobbies:['offer', 'president']}"
60,Brett Cabrera,twenty,,ninety,,Port Carlos,together,1657213638,data-sciens,,active,15.5,excellent,"121,00",1972-01-29,"East Elizabethhaven 9-kv, dom 15, Tashkent",INVALID_JSON_DATA
61,William Moore,twenty,Female,93,542-835-7188,Port Juanland,,2010/05/07,data science,,inactive,3.2,average,"50,00",1983-06-05T05:46:56,"6258 Gordon Road, Smithshire","{'hobbies': ['painting', 'kid'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 2}, 'soft': ['fill', 'growth']}, 'family': {'siblings': 5, 'income': {'father': 964, 'mother': 1178}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2017}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
62,Margaret Lopez, 20 ,MALE,ninety,518-984-8100x51067,East Caitlinfurt,ogarcia@@hahn.net,02/04/1980 04:04 AM,Pyhton,106,active,4.07,,"183,00",1695762008,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['others', 'one'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 2}, 'soft': ['enjoy', 'test']}, 'family': {'siblings': 5, 'income': {'father': 946, 'mother': 741}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2024}, {'type': 'phone', 'brand': 'Samsung', 'year': 2018}]}"
63,William Olsen ,22,FEMALE,ninety,+1-207-589-1183x975,East Sophia,someonegmail.com,1995.11.13,data_sciense,,inactive,3.72,excellent,USD 138,1999.04.21,"9057 Griffin Heights, Rasmussenside",INVALID_JSON_DATA
64,,19,femlae,ninety,,Christopherborough,maybe,2014-12-15,python,,active,four point five,good,97 USD,2011/04/16,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""stock"", ""management""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 1}, ""soft"": [""move"", ""bar""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 786, ""mother"": 987}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2018}]}"
65,Randall Heath ,18,male,ninety,346-373-6033x101,Deleonside,someonegmail.com,1660240931,PYTHNO,65,pending,four point five,average,105 USD,1985.10.02,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220","{""hobbies"": [""position"", ""stuff""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 1}, ""soft"": [""two"", ""economy""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 527, ""mother"": 408}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2021}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2023}]}"
