student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,hobbies,devices,skills.tech.python,skills.tech.excel,skills.tech.sql,skills.soft,family.siblings,family.income.father,family.income.mother,addr_city,addr_district,addr_postal
11,Shawn Baker,19.0,Unknown,,+998868509629,Zhangstad,,2025-06-10 00:00:00,Data Science,110.0,active,3.7,excellent,183.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",INVALID_JSON_DATA,,,,,,,,,,Tashkent,North Samantha,100659
12,,18.0,Female,71.0,,Austinside,,2013-01-14 19:16:00,Other,110.0,inactive,-2.0,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","{hobbies:['forward', 'like']}",,,,,,,,,,Tashkent,Morrismouth,100315
13,,19.0,Female,90.0,+998736311916,Lesliefurt,,2014-12-24 00:00:00,Data Science,110.0,inactive,4.5,excellent,84.0,2010-11-21 00:00:00,"Frankchester 9-kv, dom 20, Tashkent",INVALID_JSON_DATA,,,,,,,,,,Tashkent,,
14,Thomas Prince,20.0,Unknown,,,East Michellestad,aphillips@holland-diaz.org,2012-02-09 00:00:00,Other,114.0,inactive,15.5,excellent,210.0,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,"{hobbies:['understand', 'become']}",,,,,,,,,,Tashkent,,100394
15,,21.0,Male,73.0,,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,Python,110.0,pending,3.7,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",INVALID_JSON_DATA,,,,,,,,,,Tashkent,,
16,Adrian Allen,20.0,Female,,,Antoniobury,,1999-08-29 00:00:00,Other,110.0,pending,3.7,excellent,53.0,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","{'hobbies': ['partner', 'race'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['onto', 'owner']}, 'family': {'siblings': 3, 'income': {'father': 798, 'mother': 626}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}","['partner', 'race']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]",4.0,4.0,4.0,"['onto', 'owner']",3.0,798.0,626.0,Other,,
17,Stephen Lyons,19.0,Unknown,76.0,,New Adam,,2009-10-13 02:20:00,Data Science,110.0,active,4.5,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"{'hobbies': ['nothing', 'community'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 5}, 'soft': ['wear', 'will']}, 'family': {'siblings': 1, 'income': {'father': 772, 'mother': 498}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}","['nothing', 'community']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",1.0,1.0,5.0,"['wear', 'will']",1.0,772.0,498.0,Tashkent,,100399
18,Zachary Lyons,18.0,Male,68.0,+998425525722,Chenport,,2003-09-25 00:00:00,Data Science,110.0,inactive,4.5,average,138.0,1997-08-27 00:00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",INVALID_JSON_DATA,,,,,,,,,,Tashkent,Port Kevin,100106
19,,20.0,Female,50.0,+998790996883,West Danaville,,1974-02-20 00:00:00,Data Science,110.0,active,3.05,excellent,66.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,,,,,,,,,,,,
20,Anthony Hardy,20.0,Male,90.0,+998287301241,Kimport,,1973-05-20 19:05:00,Data Science,65.0,pending,4.5,excellent,218.0,,"Masontown 10-kv, dom 21, Tashkent","{'hobbies': ['certainly', 'defense'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 4}, 'soft': ['medical', 'quality']}, 'family': {'siblings': 4, 'income': {'father': 1220, 'mother': 1220}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}","['certainly', 'defense']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]",5.0,2.0,4.0,"['medical', 'quality']",4.0,1220.0,1220.0,Tashkent,,
21,Hector Beltran,20.0,Male,52.0,,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data Science,110.0,active,15.5,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,,,,,,,,,,,,
22,Tara Nguyen,22.0,Unknown,73.0,+998742999225,Brittanychester,,2000-06-04 17:46:54,Other,78.0,inactive,4.5,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"{'hobbies': ['create', 'accept'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 1}, 'soft': ['new', 'manager']}, 'family': {'siblings': 3, 'income': {'father': 1140, 'mother': 1117}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}","['create', 'accept']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]",1.0,3.0,1.0,"['new', 'manager']",3.0,1140.0,1117.0,Tashkent,,100063
23,Jessica Robinson,22.0,Male,90.0,+998093768300,Jonesfurt,,2010-05-10 12:48:00,Data Science,81.0,inactive,3.7,good,261.0,2005-06-09 00:00:00,"0451 James Cliffs Suite 725, Wagnermouth","{hobbies:['type', 'beautiful']}",,,,,,,,,,Other,,
24,Latoya Williams,18.0,Male,60.0,,North Ashleyborough,,2021-08-06 11:33:00,Data Science,110.0,pending,3.7,excellent,148.0,,"0258 Sean Keys Apt. 380, Kevinfort","{'hobbies': ['step', 'section'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 3}, 'soft': ['beat', 'popular']}, 'family': {'siblings': 0, 'income': {'father': 1376, 'mother': 871}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}","['step', 'section']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]",1.0,5.0,3.0,"['beat', 'popular']",0.0,1376.0,871.0,Other,,
25,,21.0,Unknown,90.0,,Donnaview,,2025-03-08 00:00:00,Data Science,,pending,15.5,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","{'hobbies': ['phone', 'consider'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['must', 'around']}, 'family': {'siblings': 0, 'income': {'father': 1453, 'mother': 206}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}","['phone', 'consider']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]",1.0,3.0,2.0,"['must', 'around']",0.0,1453.0,206.0,Other,,
26,,21.0,Female,90.0,,Harrisbury,,,Data Science,96.0,pending,15.5,good,299.0,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","{'hobbies': ['tough', 'role'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 2}, 'soft': ['south', 'his']}, 'family': {'siblings': 1, 'income': {'father': 623, 'mother': 577}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}","['tough', 'role']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]",3.0,1.0,2.0,"['south', 'his']",1.0,623.0,577.0,Tashkent,Lake Crystal,100119
27,Emily Cummings,22.0,Female,59.0,,East Dariuston,,,Python,,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}","['billion', 'feeling']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]",3.0,1.0,3.0,"['thought', 'particularly']",4.0,303.0,1245.0,Tashkent,South David,100696
28,Brandy Powell,20.0,Unknown,87.0,+998302929740,Oconnellburgh,,2000-07-27 00:00:00,Other,107.0,inactive,,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['energy', 'however'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['either', 'plan']}, 'family': {'siblings': 4, 'income': {'father': 1105, 'mother': 1106}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}","['energy', 'however']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]",2.0,1.0,3.0,"['either', 'plan']",4.0,1105.0,1106.0,,,
29,,21.0,Male,88.0,+998102921287,West Rachel,elizabeth49@yahoo.com,2014-09-19 00:00:00,Data Science,,inactive,,,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",INVALID_JSON_DATA,,,,,,,,,,Other,,
30,Jaime Rowe,,Female,69.0,+998929598929,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data Science,64.0,pending,3.7,average,294.0,,"Port Robertstad 16-kv, dom 50, Tashkent","{'hobbies': ['woman', 'wear'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 3}, 'soft': ['reduce', 'than']}, 'family': {'siblings': 4, 'income': {'father': 1291, 'mother': 913}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}","['woman', 'wear']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]",4.0,5.0,3.0,"['reduce', 'than']",4.0,1291.0,913.0,Tashkent,,
31,Brianna Castro,21.0,Unknown,90.0,,East Regina,,2007-10-13 09:29:00,Data Science,110.0,pending,-2.0,average,63.0,1970-09-12 00:00:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,,,,,,,,,,,,
32,April Johnson,20.0,Male,90.0,+998548293587,Andersontown,,,Other,110.0,active,-2.0,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","{'hobbies': ['material', 'relate'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 3}, 'soft': ['against', 'history']}, 'family': {'siblings': 4, 'income': {'father': 1124, 'mother': 1323}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}","['material', 'relate']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]",5.0,3.0,3.0,"['against', 'history']",4.0,1124.0,1323.0,Tashkent,Christineburgh,100686
33,Joyce Franklin,20.0,Female,60.0,+998905816281,South Brittany,,2000-06-29 21:16:26,Data Science,66.0,inactive,15.5,excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","{""hobbies"": [""run"", ""case""], ""skills"": {""tech"": {""python"": 4, ""excel"": 2, ""sql"": 3}, ""soft"": [""rock"", ""never""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1009, ""mother"": 1369}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}","['run', 'case']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]",4.0,2.0,3.0,"['rock', 'never']",4.0,1009.0,1369.0,Tashkent,,
34,,20.0,Female,,,Hillmouth,,1983-05-24 00:00:00,Data Science,67.0,active,3.7,excellent,172.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"{'hobbies': ['decide', 'least'], 'skills': {'tech': {'python': 5, 'excel': 5, 'sql': 2}, 'soft': ['mouth', 'laugh']}, 'family': {'siblings': 4, 'income': {'father': 763, 'mother': 1393}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}","['decide', 'least']","[{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]",5.0,5.0,2.0,"['mouth', 'laugh']",4.0,763.0,1393.0,Tashkent,,100883
35,,22.0,Female,,+998303522091,North Maryfort,,2008-01-25 20:03:00,Data Science,110.0,pending,-2.0,,136.0,1998-08-30 02:53:00,UZ 100652 Tashkent Lake Donaldton,INVALID_JSON_DATA,,,,,,,,,,Tashkent,,100652
36,,22.0,Unknown,87.0,+998778251647,North Gerald,,2018-11-11 00:00:00,Python,110.0,inactive,15.5,average,202.0,2024-12-18 00:00:00,"North Amy 11-kv, dom 49, Tashkent","{""hobbies"": [""stay"", ""even""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 3}, ""soft"": [""generation"", ""group""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 219, ""mother"": 1344}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}","['stay', 'even']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2017}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",3.0,5.0,3.0,"['generation', 'group']",1.0,219.0,1344.0,Tashkent,,
37,Jeremy Fry,18.0,Female,90.0,+998025622965,New Kent,mccoyandrew@yahoo.com,,Data Science,110.0,pending,4.5,average,157.0,1971-02-04 00:00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606","{hobbies:['score', 'bar']}",,,,,,,,,,Tashkent,New Ian,100606
38,Christopher Sosa,20.0,Male,90.0,+998481737665,New Aliceland,,2022-08-12 00:00:00,Other,67.0,active,,excellent,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","{""hobbies"": [""art"", ""learn""], ""skills"": {""tech"": {""python"": 3, ""excel"": 2, ""sql"": 3}, ""soft"": [""write"", ""alone""]}, ""family"": {""siblings"": 2, ""income"": {""father"": 1354, ""mother"": 448}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2024}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2020}]}","['art', 'learn']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]",3.0,2.0,3.0,"['write', 'alone']",2.0,1354.0,448.0,Tashkent,Youngton,100192
39,David Duke,20.0,Female,,+998266776949,Harrishaven,,2004-09-26 00:00:00,Python,110.0,active,,excellent,159.0,2022-05-25 01:20:33,UZ 100766 Tashkent Port William,"{hobbies:['challenge', 'trouble']}",,,,,,,,,,Tashkent,,100766
40,Sara Page,20.0,Female,71.0,,West William,edgar27@phillips-martin.info,,Python,110.0,inactive,,,140.0,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","{""hobbies"": [""imagine"", ""middle""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 4}, ""soft"": [""begin"", ""movement""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 270, ""mother"": 255}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}","['imagine', 'middle']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",3.0,4.0,4.0,"['begin', 'movement']",5.0,270.0,255.0,Other,,
41,,19.0,Male,,,West Georgefort,,1975-12-17 00:00:00,Data Science,,active,15.5,average,225.0,,"4613 Robert Cliff Suite 875, South Leslie","{""hobbies"": [""particular"", ""turn""], ""skills"": {""tech"": {""python"": 1, ""excel"": 4, ""sql"": 2}, ""soft"": [""trip"", ""toward""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 1364, ""mother"": 1312}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}","['particular', 'turn']","[{'type': 'laptop', 'brand': 'HP', 'year': 2017}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]",1.0,4.0,2.0,"['trip', 'toward']",5.0,1364.0,1312.0,Other,,
42,Mark Smith,,Male,90.0,,West Morganchester,,1980-12-09 00:00:00,Data Science,81.0,inactive,-2.0,excellent,255.0,1980-06-06 03:12:08,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",INVALID_JSON_DATA,,,,,,,,,,Tashkent,Port Kristopherberg,100563
43,Amanda Myers,19.0,Female,90.0,+998981153243,North Christopherborough,,,Data Science,110.0,pending,-2.0,average,140.0,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"{'hobbies': ['professional', 'necessary'], 'skills': {'tech': {'python': 5, 'excel': 4, 'sql': 2}, 'soft': ['recent', 'tend']}, 'family': {'siblings': 1, 'income': {'father': 1134, 'mother': 1304}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}","['professional', 'necessary']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",5.0,4.0,2.0,"['recent', 'tend']",1.0,1134.0,1304.0,Tashkent,,100515
44,Eric George,18.0,Male,93.0,,Nathanborough,,,Other,,inactive,,good,205.0,,UZ 100297 Tashkent North Candace,"{hobbies:['official', 'begin']}",,,,,,,,,,Tashkent,,100297
45,,20.0,Unknown,83.0,,Duncanfort,,,Data Science,110.0,active,0.0,excellent,135.0,2022-11-21 00:00:00,"Annahaven 19-kv, dom 3, Tashkent","{'hobbies': ['finish', 'true'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 2}, 'soft': ['enter', 'response']}, 'family': {'siblings': 5, 'income': {'father': 778, 'mother': 355}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2022}]}","['finish', 'true']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2022}]",4.0,2.0,2.0,"['enter', 'response']",5.0,778.0,355.0,Tashkent,,
46,Brandi Jones,20.0,Male,,,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,Data Science,92.0,inactive,15.5,,172.0,1975-05-22 00:00:00,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""raise"", ""let""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 2}, ""soft"": [""tell"", ""compare""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 209, ""mother"": 1191}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}","['raise', 'let']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",1.0,5.0,2.0,"['tell', 'compare']",3.0,209.0,1191.0,,,
47,John Robinson,19.0,Unknown,51.0,,Port Tracy,wallacerandy@bradshaw.com,,Data Science,,active,15.5,average,166.0,1994-04-25 00:00:00,UZ 100626 Tashkent East Williamport,"{'hobbies': ['above', 'even'], 'skills': {'tech': {'python': 3, 'excel': 2, 'sql': 5}, 'soft': ['minute', 'view']}, 'family': {'siblings': 4, 'income': {'father': 1127, 'mother': 1111}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}","['above', 'even']","[{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]",3.0,2.0,5.0,"['minute', 'view']",4.0,1127.0,1111.0,Tashkent,,100626
